strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,group_strike,sigma_calibrated
38.0,3.52,3.2661225120724455,0.2538774879275545,0.06445377887640558,0.9216589861751153,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,38.0,0.176615115059062
38.0,4.15,3.943644130531548,0.2063558694684522,0.04258274486408088,0.9216589861751153,2026-04-25,SEP 2026,0.4,41.23,150.0,38.0,0.176615115059062
39.0,2.68,2.813739963248657,0.13373996324865667,0.017886377769752035,0.9466019417475727,2026-04-01,JUN 2026,0.21643835616438356,41.2,138.0,39.0,0.18298538828074426
39.0,2.36,2.5218172665515373,0.1618172665515374,0.026184827754211302,0.9466019417475727,2026-04-01,MAY 2026,0.12054794520547946,41.2,138.0,39.0,0.18298538828074426
39.0,3.08,3.2231144894324877,0.1431144894324876,0.020481757085521607,0.9345794392523366,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,39.0,0.18298538828074426
39.0,2.77,2.962436354918442,0.19243635491844202,0.03703175069429659,0.9345794392523366,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,39.0,0.18298538828074426
39.0,2.78,2.4739967454998224,0.3060032545001774,0.09363799176470033,0.9449963653985946,2026-04-13,MAY 2026,0.08767123287671233,41.27,138.0,39.0,0.18298538828074426
39.0,2.96,2.6415615281799303,0.3184384718200697,0.10140306033510131,0.9459131700218288,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,39.0,0.18298538828074426
39.0,2.67,2.3336497209024936,0.33635027909750637,0.11313151024897043,0.9459131700218288,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,39.0,0.18298538828074426
40.0,2.03,2.1425171770045766,0.11251717700457675,0.012660115121079256,0.9708737864077669,2026-04-01,JUN 2026,0.21643835616438356,41.2,138.0,40.0,0.18431552499434187
40.0,1.7,1.7886138468594162,0.0886138468594162,0.007852413855224066,0.9708737864077669,2026-04-01,MAY 2026,0.12054794520547946,41.2,138.0,40.0,0.18431552499434187
40.0,2.64,2.8335661096112466,0.19356610961124643,0.03746783879003307,0.9708737864077669,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,40.0,0.18431552499434187
40.0,2.38,2.4993391611948983,0.1193391611948984,0.014241835394701944,0.958543014617781,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,40.0,0.18431552499434187
40.0,2.05,2.165959766965118,0.11595976696511823,0.013446667554604524,0.958543014617781,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,40.0,0.18431552499434187
40.0,2.98,3.1736188586987106,0.19361885869871065,0.03748826244379128,0.958543014617781,2026-04-02,SEP 2026,0.46301369863013697,41.73,150.0,40.0,0.18431552499434187
40.0,2.02,1.6945897183228196,0.32541028167718045,0.10589185142122191,0.9692270414344559,2026-04-13,MAY 2026,0.08767123287671233,41.27,138.0,40.0,0.18431552499434187
40.0,2.96,2.7984955328760277,0.16150446712397226,0.026083692900998236,0.9692270414344559,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,40.0,0.18431552499434187
